GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.view,Display,104,0,0,0,38,0,6,0,6,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.model,ContactInformation,72,0,0,0,30,0,15,0,15,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.model,Person,153,0,0,0,57,0,29,0,29,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.model,Role,40,0,0,0,15,0,8,0,8,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.service,RoleController,174,0,16,0,56,0,17,0,7,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.service,ContactInformationController,182,0,31,0,61,0,22,0,5,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.service,PersonController,656,0,79,0,175,0,60,0,15,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo,App,10,0,0,0,4,0,2,0,2,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo,ServiceController,54,0,8,0,23,0,8,0,2,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.dao,RoleDao,291,0,8,0,75,0,12,0,8,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.dao,PersonDao,208,0,8,0,55,0,10,0,6,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.dao,ContactInformationDao,182,0,8,0,42,0,9,0,5,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.connection,DBConnection,41,0,0,0,14,0,2,0,2,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.helper,SortPersonByDateHired,9,0,0,0,2,0,2,0,2,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.helper,SortPersonByGwa,10,0,0,0,2,0,2,0,2,0
JaCoCo-Multi Project/JaCoCo-Multi,com.exist.altheo.helper,SortPersonByLastName,9,0,0,0,2,0,2,0,2,0
